,x,y
328,7.42757,4.3021703
329,6.4197683,6.6093974
330,8.29109,3.9870532
331,7.608696,2.9328017
332,3.3209121,3.2907813
333,5.522979,5.9063344
334,7.6493707,4.259449
335,8.392034,3.909273
336,7.891109,4.5037336
337,7.0540757,4.9392962
338,4.0959435,4.7186947
339,7.7074113,4.3166842
340,5.590387,4.51482
341,5.750082,4.385777
342,7.651751,4.1806417
343,7.997185,4.457639
344,7.9051,4.4276147
345,7.5489335,2.4374313
346,6.3118896,6.60616
347,4.1055264,5.3116884
348,3.9027755,5.945745
349,3.5629497,5.439423
350,3.6328354,2.5340228
351,3.1950715,2.357461
352,4.08233,5.880227
353,3.7047994,2.4948227
354,3.7451649,2.3510306
355,3.6288636,2.2987692
356,7.7705708,4.6769686
357,2.729587,2.8784447
358,2.7104516,7.514544
359,2.5802763,3.9675372
360,8.119587,2.6498797
361,8.076926,2.6218748
362,8.000384,2.6099021
363,5.355611,2.1321292
364,5.2724824,2.2670898
365,5.3992305,2.144345
366,5.383344,2.137582
367,5.308799,2.0597165
368,3.3193116,4.6964874
369,4.0023613,4.8989115
370,4.3276906,5.2168055
371,4.2324023,5.8660226
372,3.453958,4.977214
373,3.4769166,4.8250413
374,5.7383966,8.550418
375,5.984224,8.50588
376,5.883616,8.564727
377,6.1095877,8.613585
378,6.722629,4.182353
379,6.061517,8.607069
380,6.504207,4.556609
381,6.274733,8.542317
382,6.7276382,4.304924
383,6.5441046,3.4468763
384,6.4605446,3.5020573
385,4.5628386,3.0547767
386,4.6531305,3.1306236
387,4.339443,2.4688265
388,5.7270646,8.881663
389,8.952068,6.58069
390,5.0429554,4.520647
391,5.6110816,8.825022
392,6.2061973,5.4662614
393,7.190596,4.933445
394,7.637036,5.8025537
395,5.924013,8.65488
396,5.802986,8.511659
397,0.32977468,5.109364
398,5.240753,4.373782
399,5.4286084,4.3581614
400,8.04479,2.7458797
401,5.3260064,4.2606406
402,8.015269,2.6224835
403,5.103659,4.301301
404,5.1817956,4.3338194
405,8.114571,2.1746285
406,8.0423,2.6151645
407,5.343281,4.336855
408,7.8921237,4.237858
409,5.075075,4.4011025
410,5.1564546,4.3443546
411,7.8906984,4.232541
412,7.9640465,4.4721885
413,6.3318963,0.8719457
414,6.483971,0.8551098
415,6.4562464,4.7292514
416,7.754564,2.9756064
417,7.5340867,3.3508258
418,7.6766987,3.208442
419,7.6612325,3.1457803
420,4.051403,8.326674
421,3.3510232,7.183472
422,7.832226,2.635313
423,4.6343203,7.968762
424,4.4190345,8.24493
425,8.378907,3.8844323
426,8.167573,3.768531
427,7.072391,4.9977174
428,7.174993,4.979495
429,7.2721753,5.0487437
430,8.107163,3.7091315
431,6.5671167,4.532812
432,6.48849,4.672769
433,6.4129043,4.6253242
434,6.9474764,4.9108224
435,6.8180795,4.484408
436,6.712869,4.978638
437,6.418123,4.9300337
438,7.749747,4.261125
439,6.96938,4.7326117
440,6.721885,4.863175
441,5.6236005,1.330071
442,6.543669,4.9253974
443,6.7893577,4.808099
444,6.615444,4.80196
445,6.7780976,4.484403
446,5.5858464,1.3129874
447,6.8021975,4.615523
448,3.5650806,4.088422
449,9.504361,6.9991493
450,6.38733,0.89111865
451,4.536656,0.42415562
452,4.484604,0.66232806
453,7.552252,3.2238088
454,7.8329306,4.54411
455,7.671479,4.572352
456,7.7603703,4.5772405
457,6.624449,3.5355234
458,6.9269934,5.063884
459,5.292614,7.1149564
460,3.8093681,5.786132
461,4.567333,6.074492
462,6.198124,4.8434663
463,5.5880346,8.356193
464,5.635265,7.0012865
465,0.8504172,2.7125804
466,7.8073134,6.1670237
467,5.7280183,8.099351
468,5.536228,3.127736
469,5.5558696,9.977425
470,4.5822444,8.587892
471,0.39756486,3.8583932
472,6.415906,5.4259005
473,1.226362,2.2944648
474,-0.60887426,9.15182
475,5.230347,10.799367
476,5.8718596,4.6387167
477,1.5006874,5.5979595
478,-2.3704093,3.738098
479,2.746955,3.5359898
480,6.6919003,4.8152475
481,5.371791,7.2655644
482,2.6044116,2.0518377
483,2.3568792,6.932656
484,5.7696524,8.129445
485,3.9161463,12.322467
486,1.1792105,10.47572
487,1.476524,8.430132
488,5.3097186,7.3414855
489,5.1170425,7.0904813
490,-0.3382748,0.30989158
491,6.4433546,5.4065847
492,4.0748854,10.041768
493,3.27188,4.7949805
494,2.764522,6.097034
495,6.4587793,0.7754707
496,2.0730503,6.442606
497,0.6494516,8.707691
498,1.8661436,3.7367647
499,6.9259324,4.347239
500,4.0326295,6.9234753
501,0.6825428,4.646623
502,1.4860624,12.699898
503,2.7246714,9.31253
504,3.3425426,10.588483
505,4.474681,6.128414
506,0.83620554,2.8523543
507,1.0257531,7.6323614
508,3.7384672,7.5540137
509,1.2098283,4.7455235
510,2.5898597,10.054664
511,0.055131614,9.835265
512,0.3792598,1.9528506
513,4.4864683,7.5473347
514,4.6558943,7.984362
515,2.383378,6.523903
516,-0.49394724,10.662149
517,2.448694,4.9931064
518,-1.215059,9.0747795
519,-0.28913328,4.0050464
520,5.413775,6.048201
521,1.0957527,4.5636477
522,7.006394,5.1443844
523,0.4868506,10.117848
524,5.9556484,2.503633
525,1.955346,6.230145
526,2.264681,6.8439946
527,3.3242142,4.7602267
528,5.4423494,4.9468546
529,3.631954,9.984275
530,1.9190316,5.9605145
531,5.3151956,6.597208
532,0.9317942,9.253151
533,5.2986774,7.212835
534,0.19401942,1.9193559
535,2.936388,4.7518864
536,1.6909832,11.484035
537,-1.130194,5.5805635
538,0.46932715,4.7360954
539,5.8261704,8.193086
540,4.4732513,5.537201
541,3.5943563,11.233359
542,1.1826787,7.2947454
543,3.6092622,6.7807474
544,3.9955199,7.821894
545,0.9697746,7.0674
546,1.5951698,-0.002957408
547,3.4362435,-1.5481327
548,1.6010358,10.114206
549,1.6551536,8.443014
550,4.1418824,10.217978
551,5.637027,8.318667
552,5.680704,8.192863
553,-1.2493793,6.5262923
554,5.669713,8.222349
555,6.264381,0.2127199
556,4.387785,7.045981
557,6.4629235,5.915094
558,4.753094,6.3256283
